WorkerId,Design1thisisyou,Design2d2c,Design3dd,Design4ddgaf,Design5ehh,Design6pork,Design7allow,Design8yes,Design9prop65,Design10pants,Design11secret,Design12rush,Design13skank88,Design14blank,Design15yes,Design16Clothing,Design17wing,Design18stopnet,Design19shirts,Design20skank,Design21logo,Design22nekkid,Design23hipster,Design24magnet,Design25friend,Design26boner,Design27dance,Design28bidness,Design29marx,Design30recmach,Design31nerd,Design32rapist,Design33fad,Design34giveshits,Design35bone,Age,Gender
A2L7S6RZOZ6NM9,4,3,3,4,3,1,3,3,2,3,3,2,4,4,4,5,5,4,4,4,3,2,2,4,2,2,3,3,2,2,4,3,3,4,4,24,1.00
ARHM06ZVMD66V,5,4,2,1,4,4,5,2,4,2,3,2,2,4,4,2,2,2,5,3,3,1,2,4,4,2,4,4,3,5,5,2,2,2,3,43,1.00
A266IXZI9QNZJC,2,3,1,3,4,3,5,3,5,5,4,3,5,5,4,2,4,3,4,4,2,2,4,5,4,3,2,5,5,4,4,1,4,4,5,51,1.00
A2LE8VTSBGZ70X,3,2,2,1,4,5,2,4,4,5,5,2,2,5,4,3,3,2,5,1,1,1,3,5,4,1,3,2,1,4,3,1,4,1,3,58,1.00
A139YKSM7G5JIF,2,2,2,2,2,3,1,2,1,3,4,2,2,2,3,2,4,2,3,3,3,3,1,3,4,3,3,3,2,2,3,1,3,2,2,29,1.00
A1EMF0INSZGGSK,2,1,2,1,2,2,4,1,2,2,2,1,1,1,1,2,2,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,2,42,1.00
A3D5VAUXFDBM3Z,3,3,2,2,1,3,2,1,2,2,1,2,3,5,1,3,1,4,1,3,4,3,3,1,1,1,2,2,3,1,4,2,1,3,3,30,1.00
A3I5AH4959TUYF,2,3,3,4,3,2,4,1,5,1,1,1,1,3,4,1,1,2,4,2,2,2,1,3,3,2,3,3,4,3,1,1,2,1,1,22,1.00
A1BZNPQ0H7ZSER,4,2,2,3,2,4,5,2,3,3,4,2,1,3,5,2,1,1,2,1,3,1,2,4,1,3,2,2,4,4,4,2,3,2,2,35,1.00
AVHZJ2HQJG3NB,1,1,2,4,3,3,5,2,4,1,3,3,2,4,4,1,5,5,2,2,1,1,3,3,5,1,3,3,2,5,5,1,4,3,3,41,1.00
