RK,Player,Team,Pos,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,IBB,HBP,SAC,SF,TB,XBH,GDP,GO,AO,GO_AO,NP,PA
1,M Betts,BOS,RF,129,493,118,166,42,5,29,72,77,83,28,6,.337,.431,.619,1.049,8,8,0,5,305,76,4,94,159,0.59,2437,583
2,J Martinez,BOS,LF,140,537,106,176,36,1,41,122,63,140,5,1,.328,.398,.628,1.026,10,4,0,6,337,78,18,142,103,1.38,2381,610
3,J Altuve,HOU,2B,126,495,78,158,29,2,12,57,49,75,16,3,.319,.387,.459,.845,4,6,3,1,227,43,15,152,129,1.18,1985,554
4,S Gennett,CIN,2B,144,547,84,174,29,2,22,88,39,118,4,2,.318,.365,.499,.864,3,4,3,5,273,53,13,136,140,0.97,2284,598
5,M Trout,LAA,CF,129,437,94,139,24,4,34,70,115,116,23,2,.318,.466,.625,1.091,23,10,0,4,273,62,5,76,115,0.66,2378,567
6,C Yelich,MIL,LF,134,531,101,166,29,5,30,89,54,127,19,4,.313,.381,.556,.937,1,6,0,2,295,64,13,173,80,2.16,2283,593
7,B Zobrist,CHC,2B,126,404,61,126,26,2,9,55,50,57,3,4,.312,.384,.453,.837,1,2,1,7,183,37,8,129,108,1.19,1812,464
8,L Cain,MIL,CF,130,499,82,155,24,2,10,36,68,86,28,7,.311,.401,.427,.828,0,8,0,1,213,36,9,164,104,1.58,2284,576
9,J Segura,SEA,SS,132,542,84,167,28,3,9,60,26,67,20,11,.308,.341,.421,.761,2,4,4,6,228,40,17,190,145,1.31,2040,582
10,N Markakis,ATL,RF,149,580,77,178,41,2,14,91,65,71,1,1,.307,.373,.457,.829,10,1,0,9,265,57,18,180,178,1.01,2599,655
11,M Brantley,CLE,LF,132,525,82,161,35,2,16,73,46,52,10,3,.307,.363,.472,.835,0,3,1,5,248,53,13,185,146,1.27,2099,581
12,F Freeman,ATL,1B,149,573,90,174,38,4,21,87,72,119,9,3,.304,.384,.494,.878,10,7,0,6,283,63,10,149,147,1.01,2466,658
13,W Merrifield,KC,2B,145,576,81,174,39,1,12,57,56,103,36,8,.302,.366,.436,.802,2,6,2,6,251,52,12,135,184,0.73,2491,646
14,J Martinez,STL,1B,140,488,57,147,24,0,16,80,45,97,0,3,.301,.361,.449,.809,0,2,0,3,219,40,15,150,112,1.34,2149,538
15,A Rendon,WSH,3B,124,483,79,145,40,1,20,75,51,77,2,1,.300,.366,.511,.877,5,3,0,7,247,61,5,105,168,0.63,2176,544
16,M Smith,TB,CF,128,427,55,128,24,9,2,36,42,86,33,11,.300,.369,.412,.781,0,6,7,2,176,35,9,136,95,1.43,1806,484
17,P Goldschmidt,ARI,1B,148,559,94,167,34,5,33,83,88,160,6,3,.299,.400,.555,.954,10,6,0,0,310,72,6,119,119,1.00,2774,654
18,D Peralta,ARI,LF,136,526,73,157,24,5,28,82,44,116,4,0,.298,.356,.523,.879,3,4,0,2,275,57,13,164,104,1.58,2148,576
19,M Andujar,NYY,3B,137,524,77,156,40,2,24,83,24,93,2,1,.298,.332,.519,.851,2,4,0,3,272,66,9,155,132,1.17,1963,555
20,M Duffy,TB,3B,124,475,53,141,21,1,4,42,42,88,11,6,.297,.361,.371,.732,1,7,0,2,176,26,12,157,103,1.52,1990,526
21,M Machado,LAD,SS,149,580,77,172,32,2,35,95,67,98,14,2,.297,.369,.540,.908,17,2,0,5,313,69,22,155,182,0.85,2338,654
22,N Arenado,COL,3B,142,534,96,158,34,2,34,100,69,111,2,2,.296,.376,.558,.934,10,3,1,6,298,70,16,141,147,0.96,2360,613
23,A Simmons,LAA,SS,136,519,63,153,24,4,11,71,33,38,9,2,.295,.340,.420,.760,2,5,1,5,218,39,16,182,168,1.08,1850,563
24,A Bregman,HOU,3B,146,554,101,163,50,1,30,100,90,75,10,4,.294,.401,.551,.952,2,11,0,3,305,81,15,139,195,0.71,2625,658
25,J Baez,CHC,2B,146,551,93,162,37,9,31,103,25,147,21,9,.294,.328,.563,.891,8,5,1,4,310,77,10,153,104,1.47,1992,586
26,C Dickerson,PIT,LF,125,467,60,137,31,6,11,50,19,75,8,3,.293,.324,.456,.780,3,4,0,4,213,48,14,119,154,0.77,1860,494
27,J Peraza,CIN,SS,146,587,82,172,30,4,12,54,29,69,23,6,.293,.332,.419,.751,4,7,8,4,246,46,12,161,209,0.77,2120,635
28,N Castellanos,DET,RF,144,571,78,167,40,4,21,81,45,142,2,1,.292,.350,.487,.837,5,6,0,1,278,65,8,124,147,0.84,2261,623
29,J Wendle,TB,2B,126,439,54,128,24,6,7,52,30,91,13,4,.292,.342,.421,.763,2,8,2,9,185,37,10,129,112,1.15,1783,488
30,T Story,COL,SS,148,568,81,164,40,5,33,102,43,163,26,6,.289,.344,.551,.895,3,7,0,4,313,78,10,104,151,0.69,2426,622
31,X Bogaerts,BOS,SS,127,482,68,139,42,3,21,94,50,95,8,2,.288,.359,.519,.878,4,6,0,5,250,66,14,143,124,1.15,2193,543
32,J Votto,CIN,1B,134,465,66,134,27,2,12,67,103,94,1,0,.288,.423,.432,.855,6,8,0,3,201,41,15,131,124,1.06,2338,579
33,E Rosario,MIN,LF,137,556,86,160,31,2,23,76,30,104,8,2,.288,.323,.475,.798,5,0,1,2,264,56,4,126,173,0.73,2096,589
34,E Suarez,CIN,3B,131,488,76,140,22,2,32,101,61,133,1,0,.287,.372,.537,.909,7,9,0,6,262,56,18,117,122,0.96,2265,564
35,A Benintendi,BOS,LF,139,544,99,156,38,6,16,81,67,102,20,3,.287,.363,.467,.830,1,2,1,7,254,60,9,159,144,1.10,2425,621
36,C Blackmon,COL,CF,142,572,108,164,26,6,26,64,54,126,12,4,.287,.353,.490,.843,1,6,1,2,280,58,10,159,136,1.17,2502,635
37,M Kemp,LAD,LF,136,435,57,124,22,0,19,77,36,108,0,0,.285,.336,.467,.803,2,1,0,7,203,41,13,104,119,0.87,1745,479
38,A Jones,BAL,CF,134,537,53,152,32,0,15,58,23,86,7,0,.283,.314,.426,.741,1,3,0,3,229,47,20,168,154,1.09,1991,566
39,F Lindor,CLE,SS,146,609,120,172,41,1,35,86,63,101,23,8,.282,.355,.525,.880,5,7,3,3,320,77,5,159,188,0.85,2683,685
40,M Chapman,OAK,3B,134,503,93,142,40,6,23,64,55,136,1,2,.282,.362,.523,.885,0,9,0,2,263,69,14,113,128,0.88,2342,569
41,J Ramirez,CLE,3B,145,535,101,151,36,4,38,101,96,72,32,6,.282,.396,.578,.973,15,7,0,4,309,78,2,126,192,0.66,2766,642
42,M Haniger,SEA,RF,146,554,80,156,34,4,25,89,64,140,8,2,.282,.363,.493,.856,4,10,0,6,273,63,7,138,133,1.04,2524,634
43,J Realmuto,MIA,C,116,444,69,125,28,3,21,71,35,93,3,2,.282,.345,.500,.845,0,10,0,4,222,52,9,110,129,0.85,1909,495
44,M Ozuna,STL,LF,137,541,65,152,15,2,22,83,32,101,2,0,.281,.322,.438,.760,2,3,0,4,237,39,9,161,140,1.15,2155,581
45,D LeMahieu,COL,2B,114,474,80,133,31,2,15,57,34,74,6,5,.281,.328,.449,.777,0,2,2,6,213,48,13,169,119,1.42,1968,518
46,S Castro,MIA,2B,145,561,74,157,30,2,11,51,45,117,6,3,.280,.330,.399,.729,3,0,0,6,224,43,16,176,133,1.32,2294,612
47,Y Gurriel,HOU,1B,125,492,61,137,30,1,10,74,23,58,5,1,.278,.314,.404,.719,0,6,0,7,199,41,22,157,169,0.93,1743,528
48,A Rizzo,CHC,1B,139,516,66,143,25,1,24,92,64,74,6,4,.277,.374,.469,.843,13,20,0,7,242,50,11,151,166,0.91,2224,607
49,C Gonzalez,COL,RF,123,434,66,120,28,4,15,59,34,106,5,2,.276,.329,.463,.792,4,1,0,2,201,47,5,120,95,1.26,1753,471
50,J Mauer,MIN,1B,115,436,52,120,25,1,6,44,46,76,0,0,.275,.346,.378,.724,3,2,1,2,165,32,6,162,87,1.86,2040,487
